Borough;Number of bedrooms
Westminster;38480
Camden;18038
Kensington and Chelsea;15151
Hillingdon;9885
Tower Hamlets;6757
City of London;6064
Southwark;5802
Newham;4810
Hammersmith and Fulham;4590
Lambeth;4269
Hounslow;3915
Islington;3633
Croydon;2574
Brent;2417
Ealing;2275
Greenwich;2048
Hackney;1929
Richmond upon Thames;1719
Barnet;1485
Wandsworth;1393
Redbridge;1299
Kingston upon Thames;1218
Enfield;791
Harrow;718
Waltham Forest;614
Merton;578
Havering;576
Bexley;571
Bromley;564
Barking and Dagenham;562
Lewisham;448
Haringey;329
Sutton;235
