Neighborhood;Latitude;Longitude
Adelphi;51.5091666666667;-0.1225
Aldwych;51.5132;-0.1167
Bayswater;51.5095;-0.1929
Belgravia;51.49795;-0.15453
Charing Cross;51.5073;-0.12755
Chinatown;51.5111111111111;-0.131388888888889
Covent Garden;51.512;-0.123456
Fitzrovia;51.518;-0.136
Kensal Town;51.524;-0.21
Hyde Park;51.508611;-0.163611
Knightsbridge;51.5017;-0.1621
Lisson Grove;51.52539;-0.16969
Maida Vale;51.5274;-0.1899
Marylebone;51.5177;-0.147
Mayfair;51.508755;-0.14743
Millbank;51.4915;-0.1295
Paddington;51.5172;-0.173
Paddington Green;51.5204;-0.17525
Pimlico;51.4887;-0.1395
Portman Estate;51.5178333333333;-0.160202777777778
Queen's Park;51.5338;-0.2026
Soho;51.5127777777778;-0.131111111111111
St James's;51.5085;-0.133
St John's Wood;51.5361;-0.1751
Strand;51.5114;-0.119
Temple;51.512;-0.111
Victoria;51.496;-0.143
Westbourne;51.516;-0.197
Westbourne Green;51.524178;-0.201423
Westminster;51.4947222222222;-0.135277777777778
